"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","login with too long email @negative","api","Fri May 08 10:06:42 UTC 2026","failed","Fri May 08 10:06:42 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","21","login successfully @success","api","Fri May 08 10:06:26 UTC 2026","failed","Fri May 08 10:06:26 UTC 2026","[API - LOGIN] :: Identity Service @regression > Authentication","tests/api/login/login.api.test.js","",""
"","20","login without email field @negative","api","Fri May 08 10:06:31 UTC 2026","failed","Fri May 08 10:06:31 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","19","login with correct email but wrong password @negative","api","Fri May 08 10:06:45 UTC 2026","failed","Fri May 08 10:06:45 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","222","login with an user with sql injection @negative","e2e","Fri May 08 10:06:12 UTC 2026","failed","Fri May 08 10:06:12 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","17","login with empty data @negative","api","Fri May 08 10:06:31 UTC 2026","failed","Fri May 08 10:06:31 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","20","login with custom invalid data @negative","api","Fri May 08 10:06:47 UTC 2026","failed","Fri May 08 10:06:47 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","17","login with very long password @negative","api","Fri May 08 10:06:50 UTC 2026","failed","Fri May 08 10:06:50 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","18","login with special characters in email @negative","api","Fri May 08 10:06:37 UTC 2026","failed","Fri May 08 10:06:37 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","229","login with random invalid credentials @negative","e2e","Fri May 08 10:05:57 UTC 2026","failed","Fri May 08 10:05:57 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","20","login with unregistered email @negative","api","Fri May 08 10:06:42 UTC 2026","failed","Fri May 08 10:06:42 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","235","login with a special chars @negative","e2e","Fri May 08 10:06:05 UTC 2026","failed","Fri May 08 10:06:05 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","18","login with blank data @negative","api","Fri May 08 10:06:29 UTC 2026","failed","Fri May 08 10:06:29 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","22","get global auth token successfully @success","api","Fri May 08 10:06:25 UTC 2026","failed","Fri May 08 10:06:25 UTC 2026","[API - LOGIN] :: Identity Service @regression > Authentication","tests/api/login/login.api.test.js","",""
"","21","login with empty object @negative","api","Fri May 08 10:06:34 UTC 2026","failed","Fri May 08 10:06:34 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","18","login with invalid email format @negative","api","Fri May 08 10:06:29 UTC 2026","failed","Fri May 08 10:06:29 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","230","login with missing password @negative","e2e","Fri May 08 10:06:12 UTC 2026","failed","Fri May 08 10:06:12 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Password Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","234","login with an invalid email @negative","e2e","Fri May 08 10:06:08 UTC 2026","failed","Fri May 08 10:06:08 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","23","login with unicode characters in email @negative","api","Fri May 08 10:06:39 UTC 2026","failed","Fri May 08 10:06:39 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","21","login with SQL injection in password @negative","api","Fri May 08 10:06:50 UTC 2026","failed","Fri May 08 10:06:50 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","233","login successful @success","e2e","Fri May 08 10:05:57 UTC 2026","failed","Fri May 08 10:05:57 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","234","login with an unicode @negative","e2e","Fri May 08 10:06:08 UTC 2026","failed","Fri May 08 10:06:08 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","179","login with SQL injection in password @negative","e2e","Fri May 08 10:06:15 UTC 2026","failed","Fri May 08 10:06:15 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","19","login with SQL injection in email @negative","api","Fri May 08 10:06:48 UTC 2026","failed","Fri May 08 10:06:48 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","17","login with too short email @negative","api","Fri May 08 10:06:40 UTC 2026","failed","Fri May 08 10:06:40 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","241","login with a password injection @negative","e2e","Fri May 08 10:06:01 UTC 2026","failed","Fri May 08 10:06:01 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","26","login without password field @negative","api","Fri May 08 10:06:34 UTC 2026","failed","Fri May 08 10:06:34 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","21","login with invalid credentials @negative","api","Fri May 08 10:06:45 UTC 2026","failed","Fri May 08 10:06:45 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","20","login with null values @negative","api","Fri May 08 10:06:37 UTC 2026","failed","Fri May 08 10:06:37 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","255","login with a wrong password @negative","e2e","Fri May 08 10:06:01 UTC 2026","failed","Fri May 08 10:06:01 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
